ORF_Info,Phi_Post_Arith_Mean,Phi_Post_Median,Phi_Post_Geom_Mean,Phi_Post_Harm_Mean,Phi_Post_SD
SAKL0C03498g,0.4607517541068,0.45427097346788,0.448404206307418,0.435126553728389,0.104138578057474
SAKL0C03520g,0.389537049271511,0.38942053929121,0.376615096590123,0.362202387839526,0.0967429912717795
SAKL0C03542g,0.339512907820498,0.32590547279159,0.310726743284646,0.279069253446608,0.136058358424037
SAKL0C03564g,0.859112916162207,0.856413035138879,0.840046672136533,0.819471469696539,0.175956809239867
SAKL0C03586g,0.922298444941032,0.921375377311839,0.918624146694563,0.914914866281011,0.0820256234452752
SAKL0C03608g,0.522743543413612,0.52093107947936,0.48969998581796,0.450576615195684,0.176727240023121
SAKL0C03630g,2.44321292185926,2.43362434889088,2.41782321685129,2.3921179847317,0.351126502593004
SAKL0C03652g,0.730288367993349,0.728502285993729,0.725161070425815,0.719976608453312,0.0862026524529715
SAKL0C03674g,1.85836681191234,1.86009147138796,1.84401667254006,1.82941692409747,0.229431541474684
SAKL0C03696g,1.48291661800823,1.48033985054584,1.47411626221031,1.46522842263357,0.161053856117349
SAKL0C03718g,0.362836252738129,0.354440367515801,0.337845488743246,0.309392922937176,0.130036749424079
SAKL0C03762g,0.343318562907319,0.334256973915993,0.319469004397715,0.290507948425303,0.121951499845831
SAKL0C03784g,0.171970794167464,0.164618340235363,0.157104126143229,0.14093760044932,0.0700120283506663
SAKL0C03806g,0.928133189504566,0.928307784325809,0.916899408484847,0.905238335331658,0.142370290313457
SAKL0C03828g,0.25825375876866,0.258199020482652,0.250949660969456,0.242860450739984,0.0593194361574504
SAKL0C03872g,0.758505794688695,0.755808505433827,0.74098569971011,0.721850704212344,0.158323059688583
SAKL0C03894g,2.36850176015282,2.36823912419891,2.36210970095782,2.35567826932609,0.173619801494064
SAKL0C03916g,0.861721244363607,0.863142508442731,0.846879608028209,0.83103772830483,0.156133997134849
SAKL0C03938g,0.281885923425152,0.279470665671201,0.267211303595148,0.250252440838027,0.0869423086142058
SAKL0C03960g,0.509155534950038,0.508559567104692,0.5021648672007,0.494862812442076,0.0830529484893467
SAKL0C03982g,0.243866743610421,0.23387496489525,0.223202032529661,0.200459025208532,0.097775047563387
SAKL0C04004g,0.118099621305135,0.110122700169622,0.106904343766179,0.0956501678585889,0.0519541297242311
SAKL0C04026g,0.798295248078696,0.798192033706113,0.788229150257722,0.777802762411776,0.125089755779278
SAKL0C04048g,1.45370194279234,1.45500282464929,1.44836070994847,1.44296008313524,0.124033792378052
SAKL0C04092g,0.519288512755617,0.51852236821989,0.507784371590245,0.495470717026293,0.106619507334932
SAKL0C04136g,0.597083459947675,0.590986303135255,0.578213392235158,0.557498717973389,0.14544054500627
SAKL0C04158g,0.618722325553941,0.619101179728927,0.611635271595538,0.604353529395762,0.0926143376153826
SAKL0C04180g,1.02783058042733,1.02774216582858,1.02241978641102,1.01693221542759,0.104960910482452
SAKL0C04224g,0.334141286213494,0.330866595013556,0.321717286860944,0.308329523733897,0.0888567372118722
SAKL0C04246g,0.357063077987008,0.35495637349285,0.348995199855552,0.340479217725827,0.0744896075596292
SAKL0C04268g,0.718456274750854,0.714823168143933,0.704065968836519,0.6890503835713,0.14160324491305
SAKL0C04290g,0.643460369541084,0.638367497078251,0.630324716481968,0.616538621671042,0.127985977657117
SAKL0C04312g,0.899540570828065,0.895563501853021,0.887739595896567,0.87559085808615,0.144212319035499
SAKL0C04334g,0.793874220506386,0.793316246068972,0.789995774175015,0.78607625323896,0.0781623989086423
SAKL0C04378g,0.382976397316132,0.375922760694605,0.367157305028461,0.349762117943617,0.106683825625441
SAKL0C04400g,0.199749571129654,0.191598253533227,0.181630929536711,0.16138102667545,0.082653277419543
SAKL0C04422g,0.0907743745373538,0.0855987055927599,0.0833278950984528,0.0754920183268591,0.0365071302377869
SAKL0C04444g,0.701630462761279,0.702519681607159,0.679369468810407,0.65412566229313,0.169210165170162
SAKL0C04466g,5.16553966695356,5.12810242140808,5.12832316949436,5.09131472240242,0.623316684506374
SAKL0C04488g,4.9966240559815,4.95370919426952,4.95088801835912,4.90554515058797,0.681349754455392
SAKL0C04510g,3.75494872790517,3.69165504348047,3.67878964539102,3.60259126195018,0.759182437051383
SAKL0C04576g,0.347967190549479,0.345627166731576,0.335377084187319,0.321204028822641,0.0900834286767545
SAKL0C04598g,0.262974958290512,0.258639323132339,0.245424129777952,0.225387545615259,0.092173874081343
SAKL0C04620g,0.323202271948167,0.319441514059149,0.310813970248743,0.296750495650892,0.0861658319487448
SAKL0C04642g,0.547873333476259,0.539763962971993,0.527119828637507,0.504472945551862,0.146491083495376
SAKL0C04664g,1.75210654504401,1.75725427800946,1.73439666777512,1.71621235364479,0.246776650568065
SAKL0C04686g,0.38631643293954,0.36678882808584,0.347717852163662,0.304248961184701,0.16779376063692
SAKL0C04708g,0.176689981349817,0.167284875387049,0.160451003359657,0.142867982528008,0.0745665309905555
SAKL0C04730g,0.456559620781918,0.453328534297123,0.43796597168601,0.416747058635468,0.124795445451881
SAKL0C04752g,0.36991144116076,0.3664963249227,0.359593813435698,0.348374003326134,0.0851169382513836
SAKL0C04774g,0.590400956746041,0.592762942616011,0.572934583442359,0.553315713781104,0.138100021444573
SAKL0C04796g,0.713301724927154,0.707917715341434,0.683536836673511,0.648878149810211,0.197160440346459
SAKL0C04818g,0.849356466819432,0.851467057795188,0.837984168825924,0.826124921923406,0.136698434439116
SAKL0C04840g,5.72206828182279,5.68722829462115,5.68353001354119,5.64534368144619,0.668795641535477
SAKL0C04862g,0.282288117901239,0.279309384766979,0.266721051959416,0.249030888169137,0.0900531515184054
SAKL0C04884g,1.07458597521961,1.07404099340542,1.06952059017678,1.06438168292212,0.103767758643475
SAKL0C04906g,0.40165626799794,0.400621634200264,0.378574365490429,0.351843154025635,0.130828091090544
SAKL0C04928g,0.590699125048366,0.585129261523326,0.555779341003619,0.513812473216615,0.193199352629498
SAKL0C04950g,0.620144646643749,0.619236568078149,0.609573487062302,0.598364534643662,0.11205218929841
SAKL0C04972g,0.277433386331204,0.270314945501385,0.257931593418773,0.236194644708209,0.100662343362719
SAKL0C04994g,1.45895872114432,1.4580682688498,1.4505582614042,1.44204332171855,0.155732103270435
SAKL0C05016g,1.36996892571321,1.37096497594648,1.36097138689058,1.35183040239395,0.156094587847305
